Week,Mean,LowerBound,UpperBound
0,0,0,0
1,0.7561,0.55,0.9
2,0.5518,0.3,0.85
3,0.2983,0.1,0.6
4,0.7926,0.6,0.95
5,0.1977,0.05,0.4
6,0.3535,0.15,0.55
7,0.0977,0,0.25
8,0.1012,0,0.25
9,0.0502999999999999,0,0.2
10,0,0,0
11,0,0,0
12,0.4088,0.2,0.6
13,0.1484,0,0.3
14,0.403,0.1,0.75
15,0,0,0
16,0.0552999999999999,0,0.15
17,0,0,0
18,0.153,0,0.3
19,0.2461,0.05,0.45
20,0.2507,0,0.55
21,0.7514,0.55,0.95
22,1.1061,0.75,1.45
23,1.0468,0.9,1.2
24,0.9066,0.5,1.25
25,0.7524,0.45,1.05
26,0.5539,0.2,1
27,0.604,0.4,0.8
28,0.1936,0.05,0.35
29,0.2001,0.05,0.4
30,0.1018,0,0.3
31,0.0965,0,0.25
32,0.193,0,0.5
33,0.0977,0,0.25
34,0.5003,0.25,0.75
35,0.1942,0.05,0.4
36,0.553,0.3,0.85
37,0,0,0
38,0.2461,0.05,0.45
39,0.6464,0.35,0.9
40,0.2461,0.05,0.45
41,0.7325,0.3,1.2
42,0.9926,0.35,1.65
43,0.7363,0.3,1.35
44,0.9894,0.4,1.6
45,1.2796,0.5,2.3
46,0.6495,0.25,1.15
47,1.3714,0.5,2.55
48,1.1388,0.55,1.8
49,0.9968,0.65,1.45
50,0.895,0.6,1.15
51,0.9434,0.5,1.35
52,0.7424,0.25,1.25
53,0.3522,0.05,0.75
54,0.8472,0.55,1.2
55,0.3943,0.05,0.85
56,0.9453,0.55,1.4
57,0.9808,0.4,1.75
58,1.3359,0.8,1.95
59,1.6473,1.2,2
60,2.05,1.35,2.8
61,1.0356,0.6,1.45
62,0.8447,0.6,1.05
63,1.7295,0.55,3
64,1.2848,0.65,2
65,1.337,0.85,1.85
66,3.3705,1.9,5.05
67,3.1604,2,4.35
68,2.7833,1.8,3.9
69,2.7236,1.65,3.8
70,2.5764,1.75,3.55
71,1.5733,0.85,2.45
72,2.3919,1.35,3.3
73,2.3919,1.55,3.1
74,2.8232,1.45,4.25
75,2.6793,1.4,3.95
76,2.13,1.35,2.9
77,2.2571,1.25,3.2
78,1.5803,0.85,2.4
79,2.5035,1.5,3.6
80,1.5039,0.8,2.25
81,1.7459,1.05,2.3
82,2.1947,1.4,2.95
83,1.3569,0.85,1.95
84,0.599,0.35,0.8
85,1.4542,0.75,2.1
