Week,Mean,LowerBound,UpperBound
0,0,0,0
1,1.8543,1.7,2
2,2.3043,2,2.6
3,2.6641,2.4,2.85
4,2.7157,2.4,2.95
5,2.8507,2.5,3.2
6,3.2379,2.8,3.75
7,3.8279,3.15,4.5
8,4.1427,3.5,4.8
9,4.3837,3.75,5.15
10,4.5793,3.95,5.3
11,5.0027,4.35,5.75
12,5.3086,4.6,6.15
13,5.5706,4.75,6.55
14,5.9222,4.95,7.1
15,6.3254,5.15,7.65
16,6.93,5.65,8.3
17,7.2809,5.95,8.65
18,7.3259,5.95,8.75
19,7.5671,6.2,9
20,7.5671,6.2,9
21,7.7123,6.4,9.1
22,8.1123,6.75,9.5
23,8.8185,7.4,10.25
24,9.2122,7.85,10.6
25,9.6627,8.2,11.15
26,10.0738,8.55,11.6
27,10.1188,8.55,11.7
28,10.2626,8.8,11.8
29,11.2782,9.5,13.05
30,12.2338,10.95,13.65
31,12.7293,11.3,14.2
32,13.5657,11.75,15.35
33,14.4237,12.45,16.45
34,14.867,12.7,17
35,15.1147,12.8,17.45
36,15.4201,13.2,17.6
37,15.6163,13.3,18
38,15.6636,13.4,18
39,15.7109,13.45,18
40,15.9132,13.65,18.15
41,15.9132,13.65,18.15
42,16.2055,13.9,18.4
43,16.2055,13.9,18.4
44,16.2055,13.9,18.4
45,16.2055,13.9,18.4
46,16.4103,14.05,18.7
47,16.4618,14.1,18.7
48,16.5133,14.15,18.7
49,16.5133,14.15,18.7
50,16.5133,14.15,18.7
51,16.5583,14.2,18.8
52,16.8215,14.5,19.05
53,16.8215,14.5,19.05
54,17.0688,14.65,19.3
55,17.2749,14.8,19.6
56,17.3733,15,19.7
57,17.7177,15.2,20.25
58,18.326,15.7,20.85
59,18.7676,16.1,21.4
60,19.0106,16.25,21.7
61,19.1611,16.4,21.95
62,19.3591,16.55,22.15
63,19.4107,16.55,22.3
64,19.5572,16.65,22.4
65,20.0309,17.3,22.75
66,20.3194,17.45,23.2
67,20.4616,17.6,23.25
68,20.8155,18.15,23.45
69,21.2079,18.3,24.1
70,21.3974,18.6,24.35
71,21.6366,18.75,24.6
72,22.029,19,25.2
73,22.561,19.25,25.95
74,22.561,19.25,25.95
75,22.7572,19.35,26.3
76,22.7572,19.35,26.3
77,22.9534,19.45,26.55
78,22.9534,19.45,26.55
79,22.9534,19.45,26.55
80,22.9534,19.45,26.55
81,22.9534,19.45,26.55
82,22.9534,19.45,26.55
83,22.9534,19.45,26.55
84,22.9534,19.45,26.55
85,22.9534,19.45,26.55
