Week,Mean,LowerBound,UpperBound
0,0,0,0
1,0,0,0
2,0.02532,0,0.07
3,0.0899111111111109,0.0222222222222222,0.177777777777778
4,NaN,0,1.79875
5,0.00642857142857144,0,0.0214285714285714
6,0.51965,0.291666666666667,0.725
7,0.0527777777777776,0.0166666666666666,0.0888888888888888
8,0.0566840277777778,0.009375,0.117361111111111
9,NaN,0.192222222222222,0.744444444444445
10,NaN,0,0.3
11,NaN,0.533333333333333,0.533333333333333
12,0.0588055555555556,0.0138888888888889,0.111111111111111
13,0.0975,0.04725,0.157
14,0.0802664444444445,0.014,0.166888888888889
15,0.105338888888889,0.0347222222222222,0.180555555555555
16,0.163788888888889,0.0666666666666666,0.273611111111111
17,NaN,NaN,NaN
18,NaN,NaN,NaN
19,NaN,NaN,NaN
20,0,0,0
21,0.17035725,0.052125,0.287625
22,0.0785352777777777,0.0297222222222222,0.144513888888889
23,0.129581666666667,0.0658333333333333,0.194722222222222
24,0.112720555555555,0.05625,0.177666666666667
25,0.0584194444444444,0,0.135763888888889
26,0.0249958333333333,0,0.0690972222222222
27,0.0317375,0,0.0875
28,0.227285408163265,0.131020408163265,0.325030612244898
29,0.175178244897959,0.100816326530612,0.245969387755102
30,0.115048333333333,0.0409722222222222,0.192944444444444
31,0.210021814058957,0.0771201814058956,0.362063492063492
32,0.0612364583333333,0.0304398148148148,0.0929398148148148
33,0.081068253968254,0.0271604938271605,0.136155202821869
34,0.178556349206349,0.0847789115646258,0.282001133786848
35,0.041202,0.0105,0.0735
36,NaN,0,0
37,0.0473,0,0.15
38,0.02365,0,0.075
39,0.179822222222222,0.0444444444444444,0.355555555555556
40,NaN,0.0375,0.3
41,0.045,0,0.15
42,NaN,0,0
43,NaN,NaN,NaN
44,NaN,NaN,NaN
45,0,0,0
46,0.029055,0,0.073
47,NaN,0,0
48,NaN,NaN,NaN
49,NaN,NaN,NaN
50,0.0514999999999999,0,0.15
51,NaN,NaN,NaN
52,0,0,0
53,0.050575,0.0125,0.1
54,0.126146666666667,0.0166666666666666,0.321333333333333
55,0.1634,0.05,0.291666666666667
56,NaN,0.465111111111111,0.877555555555556
57,0.155664448979592,0.066,0.253448979591837
58,0,0,0
59,0.132170861678005,0.0472222222222222,0.227834467120181
60,0.0458666666666666,0,0.133333333333333
61,0.0713226388888889,0.0315972222222222,0.114125
62,0.0790625850340136,0,0.179251700680272
63,0.03920625,0,0.0989583333333333
64,0,0,0
65,0.307408333333333,0.1,0.533333333333333
66,0.21345,0,0.5
67,0.108870138888889,0.0378472222222222,0.193402777777778
68,0.038244,0,0.111111111111111
69,0.47945,0.1725,0.8125
70,0.1358375,0.040625,0.23125
71,0.3924,0.1,0.7
72,NaN,0,0.442
73,NaN,NaN,NaN
74,NaN,NaN,NaN
75,NaN,NaN,NaN
76,NaN,NaN,NaN
77,NaN,NaN,NaN
78,NaN,NaN,NaN
79,NaN,NaN,NaN
80,NaN,NaN,NaN
81,NaN,NaN,NaN
82,NaN,NaN,NaN
83,NaN,NaN,NaN
84,NaN,NaN,NaN
85,NaN,NaN,NaN
