Week,New Births,New Infections,infected_per_infectious,r_t,max(infectious_wks),new infect|hiv,new infect|vax1,new infect|vax2,new infect b,new infect h,new infect w,new infect a1,new infect a2,new infect a3,new infect a4,new infect a5,To Vax 1,To Vax 2,To Vax,To Vax1 plwh,To Aware (asym),To Aware (sym),To Aware,To aware|hiv,To Aware b|hiv,To Aware h|hiv,To Aware w|hiv,To Aware ls 40|hiv,To Aware ge 40|hiv,To_aware_b,To_aware_h,To_aware_w,To_aware_a1,To_aware_a2,To_aware_a3,To_aware_a4,To_aware_a5,To_vax1_b,To_vax1_h,To_vax1_w,To_vax1_a1,To_vax1_a2,To_vax1_a3,To_vax1_a4,To_vax1_a5,To_vax2_b,To_vax2_h,To_vax2_w,To_vax2_a1,To_vax2_a2,To_vax2_a3,To_vax2_a4,To_vax2_a5,To_vax_b,To_vax_h,To_vax_w,To_vax_a1,To_vax_a2,To_vax_a3,To_vax_a4,To_vax_a5,Asymp to Symp,Symp to Recover,Asymp to Recover,To on Treatment,To Death,To isolation,Alive MSM,Sus,Asymp,Symp,recovered,aware,aware_asym,aware_sym,vax_1,vax_2,vac1_sus,vac1_asy,vac1_sym,vac1_rec,vac2_sus,vac2_asy,vac2_sym,vac2_rec,vac1_b,vac1_h,vac1_w,vac2_b,vac2_h,vac2_w,vac1_hiv,vac2_hiv,on trt,on iso,hiv aware,pox + hiv aware
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263322,260544,0,5,2773,3,0,3,19563,45520,19393,0,0,170,45271,0,1,248,2332,7908,9323,5252,18077,22191,4340,10155,2,1,50306,0
1,80,1.4,0.23,0,0,0.7,0.05,0.4,1,0.4,0,0.4,0.4,0.25,0.2,0.15,96.65,174.55,271.2,21.1,0.15,1.75,1.9,1,0.15,0.85,0,0.05,0.95,0.15,1.75,0,0,0.95,0.85,0.1,0,13.1,39.5,44.05,25.1,23.4,19.1,17.65,11.4,17.3,76.9,80.35,45,37.05,38.7,28.05,25.75,30.4,116.4,124.4,70.1,60.45,57.8,45.7,37.15,0.9,2.45,0.05,0.75,71,2.3,263331,260551.1,0.45,4.45,2775,3.5,0.1,3.4,19481.6,45684.9,19311.4,0.1,0.05,170.05,45435.4,0.1,0.8,248.6,0,0,19481.6,0,0,45684.9,4325.2,10188.5,1.5,2.65,50324.15,0.85
2,80,0.85,0.17,0.17,0,0.4,0,0.2,0.6,0.25,0,0.15,0.45,0.15,0.1,0,99.05,176.4,275.45,22.35,0,0.9,0.9,0.6,0.4,0.2,0,0.25,0.35,0.6,0.3,0,0.15,0.25,0.4,0.1,0,11.65,42.25,45.15,26.6,25.4,19.2,17.15,10.7,23.5,69.85,83.05,46.9,39.25,39.6,26,24.65,35.15,112.1,128.2,73.5,64.65,58.8,43.15,35.35,0.8,2,0,0.8,68.85,0.8,263342.15,260561.5,0.5,3.25,2776.9,2.4,0,2.4,19401,45853.05,19230.8,0,0.15,170.05,45603.35,0.15,0.75,248.8,0,0,19401,0,0,45853.05,4308.45,10233,1.2,2,50343.55,0.9
3,80,1.1,0.26,0.33,0,0.45,0.05,0.1,0.95,0.15,0,0.15,0.2,0.2,0.3,0.25,95.75,163.45,259.2,20.85,0,0.7,0.7,0.35,0.35,0,0,0.25,0.1,0.5,0.2,0,0.2,0.3,0.1,0.1,0,12.5,41.15,42.1,26.8,21.45,19.9,16.55,11.05,21.2,70.3,71.95,44.25,38.15,31.15,30.8,19.1,33.7,111.45,114.05,71.05,59.6,51.05,47.35,30.15,1.1,2.05,0,0.45,66.3,0.65,263355.85,260573.5,0.5,3.3,2778.55,2.05,0,2.05,19329.3,46007.8,19159.05,0.05,0.15,170.05,45757.75,0.15,0.7,249.2,0,0,19329.3,0,0,46007.8,4294.55,10272.8,0.85,1.65,50361,0.85
4,80,0.5,0.12,0.21,0,0.4,0.15,0.15,0.25,0.25,0,0.2,0.2,0,0,0.1,93.35,173.9,267.25,19.15,0.35,1.1,1.45,0.7,0.45,0.25,0,0.35,0.35,0.85,0.6,0,0.35,0.45,0.25,0.2,0.2,11,36.95,45.4,26.4,23.15,17.6,15,11.2,22.7,80.5,70.7,41.8,43.95,39.05,29.05,20.05,33.7,117.45,116.1,68.2,67.1,56.65,44.05,31.25,0.75,1.45,0.05,0.95,70.95,0.9,263364.9,260582.25,0.2,2.6,2779.85,2,0.15,1.85,19244.9,46173.1,19074.5,0,0.25,170.15,45922.95,0.15,0.5,249.5,0,0,19244.9,0,0,46173.1,4276.3,10316.45,1.1,1.6,50378.55,0.95
5,80,1,0.26,0.19,0,0.55,0,0.15,0.75,0.25,0,0.25,0.45,0.05,0.15,0.1,98.05,30.8,128.85,23.8,0.1,0.55,0.65,0.4,0.4,0,0,0.2,0.2,0.6,0.05,0,0.15,0.2,0,0.1,0.2,11.05,44.7,42.3,27,25.6,20.85,14.1,10.5,4.25,11.9,14.65,8,7.85,6.05,5.4,3.5,15.3,56.6,56.95,35,33.45,26.9,19.5,14,0.55,2,0.1,0.75,70.2,1.7,263374.7,260589.45,0.55,3.15,2781.55,2.55,0.15,2.4,19307.75,46195.25,19137.4,0,0.25,170.1,45944.7,0.2,0.3,250.05,0,0,19307.75,0,0,46195.25,4295.55,10327.05,1.15,2.3,50394.75,0.55
6,80,0.4,NaN,NaN,0,0.1,0,0.05,0.1,0.3,0,0.35,0.05,0,0,0,98.8,35.6,134.4,20.5,0,0.55,0.55,0.2,0.15,0.05,0,0.15,0.05,0.35,0.2,0,0.05,0.35,0,0.1,0.05,11.6,41.55,45.65,29.05,23.4,18.15,16.85,11.35,3.65,15.85,16.1,9.8,8.2,7.7,5.6,4.3,15.25,57.4,61.75,38.85,31.6,25.85,22.45,15.65,0.65,1.7,0,0.3,68.95,0.2,263385.75,260600.5,0.3,2.1,2782.85,1.55,0,1.55,19367.15,46221.85,19196.8,0,0.2,170.15,45971.25,0.05,0.4,250.15,0,0,19367.15,0,0,46221.85,4310.3,10338.7,0.55,1.2,50412.8,0.6
7,80,1.3,0.33,0.24,0,0.55,0.05,0.35,1.2,0.1,0,0.25,0.4,0.3,0.2,0.15,95.3,34.95,130.25,20.35,0.15,0.5,0.65,0.45,0.45,0,0,0.3,0.15,0.5,0.15,0,0.35,0.1,0.05,0.15,0,9.15,42.6,43.55,26.9,21.75,18.25,16,12.4,4.9,15.05,15,10.5,8.05,6.9,6.2,3.3,14.05,57.65,58.55,37.4,29.8,25.15,22.2,15.7,0.85,1.65,0.1,0.75,66.15,1.65,263399.6,260611.3,0.65,3.3,2784.35,2.5,0.05,2.45,19423.8,46247.85,19253.1,0.05,0.1,170.55,45996.75,0.25,0.65,250.2,0,0,19423.8,0,0,46247.85,4325.45,10349.35,0.85,2.15,50431.6,0.8
8,80,1.1,0.24,0.27,0,0.5,0,0.35,1,0.1,0,0.4,0.45,0.05,0.2,0,96.15,31.05,127.2,21.15,0.15,0.8,0.95,0.3,0.25,0.05,0,0.15,0.15,0.8,0.15,0,0.25,0.4,0.15,0.05,0.1,10.7,41.35,44.1,25.1,24.35,19.65,16,11.05,3.25,11.6,16.2,9.25,7.9,6.05,4.4,3.45,13.95,52.95,60.3,34.35,32.25,25.7,20.4,14.5,1.2,1.4,0,1.05,66.55,1.2,263413.05,260623,0.55,4.1,2785.4,3.1,0.1,3,19485.95,46272.15,19315.1,0,0.25,170.6,46020.5,0.2,0.95,250.5,0,0,19485.95,0,0,46272.15,4342.5,10359.65,1.3,2.45,50449.3,0.8
9,80,0.9,0.19,0.25,0,0.4,0.05,0.15,0.85,0.05,0,0.4,0.2,0.1,0.05,0.15,96.3,34.1,130.4,19.85,0,1,1,0.45,0.45,0,0,0.25,0.2,0.95,0.05,0,0.3,0.3,0.15,0.2,0.05,9.9,39.55,46.85,26.8,21.35,19.75,15.9,12.5,3.15,15.15,15.8,9.9,8,7.35,4.1,4.75,13.05,54.7,62.65,36.7,29.35,27.1,20,17.25,1.1,1.9,0,0.4,68.75,0.65,263424.3,260633.95,0.35,3.3,2786.7,2.25,0,2.25,19545.45,46298.95,19374.6,0.05,0.1,170.7,46047.25,0.05,0.95,250.7,0,0,19545.45,0,0,46298.95,4356.9,10371.9,0.8,1.75,50467.8,0.55
