Week,Mean,LowerBound,UpperBound
0,0,0,0
1,20.6772,18.8,22.45
2,20.2633,18.6,22.05
3,22.2253,20.55,24.05
4,19.954,17.5,22.15
5,21.3869,19.7,23.15
6,18.5004,16.85,20.25
7,22.6937,20.4,25.1
8,18.7234,17,20.3
9,19.2206,17.5,20.95
10,20.4764,18.15,22.6
11,20.2001,17.7,22.5
12,19.0937,17.5,20.6
13,23.066,21.1,25.15
14,20.6273,19.2,22.1
15,23.8744,21.75,25.9
16,20.9502,19.6,22.4
17,24.319,22.2,26.3
18,22.4061,20.6,23.75
19,20.9358,18.5,23.1
20,21.1018,19.65,22.4
21,22.7825,19.75,26.05
22,17.4281,15.95,18.75
23,19.0294,17.5,20.7
24,19.5951,17.45,21.85
25,20.8135,19,22.6
26,19.6561,17.6,21.55
27,19.4166,17.15,21.75
28,22.2153,20.7,23.65
29,19.8799,17.8,21.9
30,20.6951,19.3,22.2
31,19.9302,18.4,21.5
32,20.8023,18.7,22.95
33,19.092,17.2,21.05
34,19.5056,17.45,21.55
35,17.638,15.25,20.25
36,22.9349,20.25,25.15
37,21.5757,20.1,22.95
38,18.6206,16.95,20
39,17.3288,15.45,19.15
40,18.7035,16.8,20.65
41,20.4848,18.3,22.65
42,20.0547,18.05,22.1
43,20.1033,18.55,21.75
44,22.0705,19.85,24.1
45,19.3564,17.35,21.5
46,18.7796,17,20.4
47,16.4912,14.65,18.45
48,20.027,18.5,21.65
49,22.7855,21,24.55
50,19.6817,18.2,21.1
51,17.7613,16.3,19.7
52,20.4711,19.05,21.75
53,18.5353,17.2,20.1
54,20.3115,18.35,22.3
55,22.9527,20.5,25.65
56,20.1167,18.1,22
57,20.3042,18.7,22.2
58,19.7618,18.1,21.35
59,17.9958,16.3,19.8
60,21.2786,19.8,22.65
61,20.539,18.3,22.9
62,22.3818,21.2,23.5
63,22.526,20.95,24.05
64,18.5399,17.1,20.15
65,17.9829,16.2,19.85
66,22.7842,21.1,24.25
67,18.761,16.75,20.85
68,19.4948,17.5,21.45
69,19.5569,17.25,21.8
70,18.3227,16.55,19.95
71,20.8062,18.85,22.35
72,21.382,19.5,23.15
73,19.7061,17.5,22.15
74,18.0211,16.75,19.4
75,17.4865,15.95,18.85
76,19.4792,17.7,21.1
77,18.6302,17.1,20.3
78,20.5798,19.05,21.95
79,20.088,17.55,22.85
80,20.479,18.95,21.95
81,18.3984,16.9,19.95
82,19.2379,17.4,20.95
83,18.2979,16.35,20.65
84,21.8156,20.25,23.35
85,18.5207,16.75,19.95
