Week,Mean,LowerBound,UpperBound
0,0,0,0
1,0.0478,0,0.15
2,0.4647,0.1,0.95
3,0.459,0.2,0.8
4,0.5914,0.15,1.2
5,0.6153,0.25,1
6,0.7659,0.35,1.2
7,0.5059,0.15,0.85
8,0.9506,0.5,1.45
9,0.3969,0.05,0.85
10,0.5438,0.15,1.15
11,0.2505,0,0.6
12,0.2977,0.05,0.6
13,0.3917,0.1,0.75
14,0.9521,0.55,1.45
15,0.76,0.35,1.3
16,1.3134,0.85,1.8
17,0.7138,0.25,1.15
18,0.9576,0.45,1.6
19,1.1836,0.6,1.8
20,0.6398,0.15,1.25
21,0.773,0.4,1.15
22,1.2329,0.55,1.95
23,1.4585,0.75,2.2
24,1.5877,0.85,2.45
25,2.1484,1.5,2.7
26,1.3815,0.6,2.4
27,1.6089,1,2.3
28,2.0068,1.25,2.85
29,2.1216,1.45,2.85
30,1.7401,1.15,2.4
31,1.5693,0.85,2.25
32,2.0284,1.35,2.85
33,2.2211,1.55,2.9
34,2.4316,1.3,3.65
35,1.9914,1.4,2.6
36,1.8354,1.15,2.5
37,1.7523,0.85,2.7
38,0.8645,0.45,1.25
39,1.3633,0.85,1.9
40,1.3427,0.7,2.25
41,1.1151,0.6,1.65
42,0.7375,0.35,1.15
43,1.1281,0.4,2
44,0.5443,0.15,1.1
45,0.9928,0.55,1.6
46,0.8891,0.4,1.45
47,0.4572,0.2,0.75
48,0.8037,0.4,1.25
49,0.7015,0.35,1.1
50,0.9447,0.4,1.65
51,0.7995,0.3,1.35
52,0.8056,0.4,1.25
53,1.003,0.3,1.8
54,1.2784,0.45,2.35
55,1.0027,0.5,1.75
56,0.9649,0.7,1.2
57,1.0041,0.5,1.55
58,1.2914,0.85,1.8
59,0.9657,0.6,1.35
60,0.9644,0.4,1.55
61,0.9064,0.5,1.35
62,0.644,0.35,0.9
63,1.0373,0.65,1.45
64,1.0933,0.55,1.7
65,1.3915,0.7,2.15
66,1.6484,1.2,2.1
67,1.1072,0.65,1.65
68,0.8045,0.4,1.25
69,1.4929,1,2.05
70,1.2425,0.7,1.8
71,1.3511,0.8,1.95
72,1.5848,0.85,2.35
73,1.8578,1.2,2.8
74,0.6812,0.3,1.1
75,0.9558,0.6,1.35
76,0.7231,0.25,1.25
77,0.5607,0.15,1.1
78,0.7042,0.45,1
79,0.5959,0.25,1
80,0.2511,0.1,0.45
81,0.5581,0.25,0.9
82,0.2523,0.05,0.5
83,0.4622,0.1,0.85
84,1.0042,0.35,1.8
85,0.5502,0.2,0.9
