Week,Mean,LowerBound,UpperBound
0,0,0,0
1,92.222,90.15,94.35
2,93.8889,90.15,97.55
3,97.4399,94.4,100.4
4,93.04,89.6,96.15
5,94.0819,91.4,97.7
6,95.4519,92.7,98.7
7,93.0069,89.25,97.25
8,94.5537,90.6,98.55
9,96.0727,92.4,99.1
10,97.6418,94.05,101.45
11,91.7173,87.15,95.7
12,94.7955,92.1,97.4
13,97.838,95.2,100.2
14,95.3268,92.45,98
15,90.8434,87.4,94.8
16,93.0935,89,97.4
17,101.4698,95.55,106.65
18,93.5835,89.35,98.3
19,93.8832,88.9,99.2
20,92.1418,88.8,95.6
21,97.5323,93.5,101.35
22,94.9023,91.6,98.25
23,95.5443,92.35,98.7
24,86.6078,84,89.4
25,93.454,90.35,95.95
26,91.8578,88.7,94.8
27,93.4869,90.15,97.15
28,91.9986,88.05,95.3
29,92.9922,89.25,97.35
30,95.1416,92,98.45
31,93.9018,91,97.1
32,91.9607,88.35,95.6
33,95.4733,89.65,101.35
34,96.0823,91.05,100.9
35,95.2713,91.25,99.45
36,95.9627,92.55,99.1
37,88.8411,84.5,92.45
38,94.6164,92,97.1
39,90.0317,86.65,94
40,89.1002,85.35,92.85
41,94.9905,89.6,100.25
42,90.9036,86.25,95.75
43,92.5762,88.9,96
44,88.2614,84.2,92.25
45,97.0757,92.7,102.1
46,93.9074,88.7,99.1
47,87.1206,83.95,90.5
48,94.1841,91.8,96.5
49,91.2164,88.05,94.2
50,93.2982,89.15,97.05
51,91.7377,88.9,94.1
52,90.2264,87.05,93.75
53,95.4617,92.05,99.7
54,92.1571,87.15,97.7
55,94.2181,91.3,96.85
56,89.0708,85.15,92.85
57,90.6128,88.55,92.85
58,88.7621,85.4,92.85
59,89.3878,85.2,93.75
60,94.0409,90.55,96.95
61,90.8842,87.05,94.8
62,87.504,85,90.3
63,92.1854,89,95.25
64,95.2024,91.3,98.85
65,97.6362,93.5,101.25
66,90.2503,86.3,93.85
67,92.0731,89,95.3
68,90.7846,88.25,93.55
69,95.7925,91.55,99.5
70,89.3305,85.7,93.4
71,90.4479,86.85,94.55
72,92.2177,86.85,97.55
73,89.2615,86.5,92.4
74,92.5268,88.85,96.05
75,88.0363,84.15,91.4
76,86.5442,83.6,89.55
77,89.4255,84.85,94.8
78,84.29,81.3,86.8
79,90.3346,87.25,93.6
80,93.7656,89.35,97.65
81,89.7685,86.25,93.45
82,87.8276,83.3,92.55
83,94.1255,90.95,96.65
84,90.6332,87.15,94.2
85,92.4126,88.85,95.7
