Week,Mean,LowerBound,UpperBound
0,0,0,0
1,0.512,0.2,0.9
2,0.2472,0.05,0.45
3,0.6786,0.25,1.15
4,0.4598,0.15,0.85
5,0.5641,0.25,0.9
6,0.4557,0.2,0.7
7,0.9579,0.6,1.35
8,0.5985,0.15,1.05
9,0.2091,0,0.45
10,0.3394,0.1,0.6
11,0.492,0,1.2
12,0.2105,0.05,0.45
13,0.8147,0.4,1.3
14,0.7293,0.3,1.35
15,0.5542,0.3,0.85
16,0.5161,0.15,0.95
17,0.7613,0.3,1.3
18,0.5771,0.2,1.1
19,0.1062,0,0.25
20,0.6711,0.15,1.3
21,0.8656,0.55,1.15
22,0.5064,0.2,0.85
23,1.306,0.8,1.85
24,0.5229,0.2,0.9
25,0.5151,0.25,0.8
26,0.8171,0.15,1.75
27,0.1511,0,0.3
28,1.4295,0.95,2.05
29,0.4962,0.25,0.8
30,0.7722,0.35,1.2
31,1.3372,0.9,1.8
32,1.5844,1.1,2.05
33,0.9366,0.6,1.3
34,0.5438,0.25,0.9
35,1.0511,0.65,1.5
36,0.6837,0.2,1.3
37,0.6029,0.25,0.95
38,0.6013,0.15,1.15
39,0.9923,0.4,1.75
40,0.3622,0.1,0.65
41,0.4049,0.1,0.75
42,0.6955,0.45,1
43,0.3054,0.1,0.55
44,0.0533999999999999,0,0.15
45,0.7004,0.25,1.2
46,0.7459,0.35,1.25
47,0.7094,0.3,1.1
48,0.5625,0.15,1.1
49,0.0533999999999999,0,0.15
50,0.2561,0,0.55
51,0.3573,0,0.8
52,0.3057,0.1,0.55
53,1.176,0.85,1.55
54,0.6918,0.35,1.1
55,0.8701,0.4,1.45
56,0.5557,0.1,1.05
57,0.9967,0.5,1.55
58,0.4911,0.15,0.85
59,0.7464,0.3,1.3
60,0.3929,0.05,1
61,0.4357,0.1,0.9
62,0.8888,0.4,1.6
63,0.5421,0.25,0.85
64,0.8912,0.4,1.45
65,0.6979,0.3,1.15
66,0.4951,0.25,0.7
67,0.3473,0.1,0.7
68,1.0716,0.6,1.65
69,0.5598,0.3,0.85
70,0.3985,0.1,0.75
71,0.7471,0.25,1.4
72,0,0,0
73,0.5398,0.15,1.05
74,0.1958,0,0.5
75,0.2859,0,0.8
76,0.2428,0,0.6
77,0.2898,0,0.8
78,0.0939999999999999,0,0.3
79,0.047,0,0.15
80,0.047,0,0.15
81,0.047,0,0.15
82,0,0,0
83,0.047,0,0.15
84,0,0,0
85,0,0,0
