Week,Mean,LowerBound,UpperBound
0,0,0,0
1,272.8372,264.35,281.25
2,272.6794,267.95,277.9
3,253.9569,249.15,258.45
4,268.4284,264.15,272.75
5,124.7539,119.8,129.9
6,120.724,115.25,126.55
7,121.658,116.9,126.7
8,132.8709,126.05,139.15
9,128.0046,123.25,133.4
10,124.3576,121.15,127.85
11,129.6867,123.45,135.3
12,131.1753,125.05,137.3
13,128.2196,123.1,132.9
14,130.1326,125.95,133.95
15,130.5919,126.05,135.1
16,124.4492,121.15,127.3
17,122.0672,118.25,126.15
18,129.0993,123.25,134.15
19,124.6115,121.4,127.95
20,129.5273,124.5,134.65
21,123.4179,119.75,127.1
22,123.3985,118.8,127.9
23,123.7019,117.9,129.05
24,126.9343,122.95,130.35
25,121.7633,116.7,126.55
26,123.8101,119.35,127.95
27,122.7428,117.25,128.85
28,132.5349,126.65,138.7
29,120.772,116.25,125.8
30,120.5121,116.95,123.9
31,124.5975,119.95,130.8
32,127.2573,121.05,132.95
33,122.0215,118.8,125.6
34,124.717,119.05,131.7
35,126.0947,121.7,131.15
36,126.3298,121.15,131.35
37,127.5623,123.45,131.7
38,123.4726,119.3,128.15
39,122.0804,119.35,125.15
40,128.2225,123.95,132.1
41,123.6575,119.05,128.8
42,123.013,119.15,127.25
43,128.6247,123.25,133.75
44,123.5901,119.4,128.45
45,125.3258,120.65,130.1
46,125.7128,119.9,130.8
47,122.9092,118.8,127.5
48,121.6716,117.95,126.25
49,124.7863,119.75,129.75
50,123.4985,118.35,128.6
51,122.9333,120.4,125.75
52,126.5397,121.85,130.85
53,125.987,122.9,129.75
54,126.3374,122.1,130.6
55,126.3985,121.55,131.95
56,128.6196,124.65,132
57,122.9249,118.6,127.15
58,121.6653,117.6,125.1
59,123.6682,120.15,127.35
60,126.9049,121.45,132.55
61,122.5713,118.75,127.3
62,123.8595,118.95,129.15
63,120.8197,116.9,125.05
64,125.8312,120.7,130.75
65,123.201,118.75,127.65
66,125.0011,119.8,130.2
67,120.4469,116.8,124.5
68,121.8839,116.2,127.9
69,119.1219,114,124.95
70,123.0863,116.7,129.4
71,128.1856,122.95,134
72,119.0929,115.45,122.35
73,118.1518,113.9,123
74,123.225,119.45,127.25
75,120.1959,114.4,125.5
76,125.5215,121,130
77,117.4448,111.4,123.2
78,120.4245,115.75,125.35
79,120.7159,117,124.4
80,122.3053,117.85,126.75
81,120.2743,115.6,124.8
82,121.43,116.8,125.85
83,117.5296,111.15,123.35
84,119.4657,112.85,125.5
85,124.0662,120.3,127.6
