Week,Mean,LowerBound,UpperBound
0,0,0,0
1,1.5999,1.4,1.8
2,1.0326,0.65,1.45
3,0.9919,0.6,1.55
4,1.4941,0.85,2.2
5,0.9879,0.45,1.5
6,1.4981,0.65,2.4
7,1.6445,1,2.35
8,1.1174,0.6,1.65
9,2.8506,1.6,4.25
10,1.2165,0.65,1.8
11,0.7588,0.45,1.05
12,0.845,0.5,1.2
13,1.9337,1.4,2.55
14,2.0505,1.5,2.6
15,2.0541,1.35,2.9
16,2.3061,1.5,3.2
17,2.6027,1.6,3.8
18,2.7176,2,3.5
19,2.5162,1.6,3.75
20,3.7877,2.6,4.85
21,3.5243,2.7,4.5
22,4.6379,2.8,6.6
23,5.0956,3.75,6.55
24,3.8979,2.6,5.3
25,4.442,3.5,5.3
26,5.1584,4.25,6.05
27,4.1683,3.45,5
28,6.2099,4.95,7.5
29,4.2022,3.35,5.1
30,3.7008,2.75,4.7
31,4.1921,3.05,5.3
32,5.3453,4.6,6.2
33,4.9307,3.85,5.85
34,6.9091,5.3,8.7
35,5.9582,4.3,7.55
36,5.7417,4.3,7.3
37,4.1291,2.95,5.35
38,4.1302,2.7,5.65
39,3.888,2.4,5.75
40,4.1591,3,5.75
41,2.6112,1.6,3.95
42,1.729,0.65,3.5
43,1.6904,0.65,3.15
44,1.2695,0.35,2.75
45,1.2753,0.3,3
46,1.506,0.7,2.8
47,1.7117,0.8,3.4
48,1.5614,0.9,2.65
49,1.3817,0.35,2.75
50,1.3038,0.6,2.35
51,1.0459,0.55,1.55
52,1.3441,0.55,2.55
53,1.1039,0.55,1.8
54,1.7324,0.9,2.65
55,2.6307,1.4,4.1
56,1.3527,0.65,2.3
57,1.9299,1,3
58,2.0262,1.35,2.8
59,2.0684,1.4,2.75
60,1.94,1.1,2.8
61,2.6552,1.85,3.65
62,4.9997,4.3,5.75
63,3.2367,2.5,4
64,2.8491,1.75,4.3
65,2.1038,1.5,2.8
66,3.6075,2.7,4.65
67,3.2018,2.35,4.25
68,2.0398,1.5,2.6
69,3.5487,2.3,5.1
70,3.3957,2.55,4.35
71,3.3253,2.5,4.1
72,2.6202,1.75,3.5
73,1.423,0.85,2.05
74,1.5107,0.75,2.55
75,1.8063,1,2.8
76,1.3053,0.7,2.1
77,1.4561,0.75,2.25
78,0.9675,0.2,1.95
79,0.7494,0,1.95
80,1.243,0.35,2.45
81,0.5041,0,1.05
82,0.537,0,1.45
83,0.8403,0.05,2.25
84,0.25,0,0.7
85,0.6878,0.05,1.85
