Week,Mean,LowerBound,UpperBound
0,0,0,0
1,0.9919,0.7,1.3
2,1.2905,0.6,2
3,1.1989,0.55,2.05
4,1.7816,0.85,2.8
5,1.9257,0.95,2.9
6,2.8236,1.4,4.3
7,3.0215,1.35,4.6
8,1.7457,0.8,2.7
9,1.7025,0.95,2.45
10,2.2435,1.1,3.35
11,2.1642,0.95,3.4
12,2.3857,1.3,3.5
13,2.6496,1.2,4.25
14,3.2319,1.3,5.5
15,3.3381,1.75,5.05
16,3.1031,1.9,4.3
17,1.9084,1.25,2.6
18,2.0899,1.05,3.1
19,2.773,1.6,3.95
20,4.3032,2.85,5.7
21,2.0037,1,3.05
22,3.5904,2.65,4.6
23,4.1414,2.35,6.15
24,4.7683,3.2,6.4
25,4.9835,3.35,6.8
26,5.4386,4,6.9
27,4.9015,3.65,6.3
28,4.7942,3.6,6.15
29,5.827,4.75,6.9
30,5.954,4.1,8.1
31,5.7949,4,7.6
32,7.5044,6.05,9.2
33,6.3743,4.85,7.85
34,6.3989,4.7,8.1
35,6.283,4.95,7.65
36,4.8149,3.45,6.1
37,5.9497,4.6,7.35
38,5.0098,3.65,6.55
39,5.4824,3.7,7.25
40,4.789,2.85,6.85
41,5.159,3.35,7.25
42,5.3315,2.9,7.7
43,4.2447,2.2,6.4
44,3.8659,1.75,6.25
45,4.6231,2.6,6.85
46,4.5699,2.9,6.45
47,4.3399,2.9,5.95
48,4.0516,2.45,6.05
49,5.6546,3.65,8.3
50,5.9293,3.35,9.4
51,4.918,2.2,8.2
52,5.3178,2.8,8.75
53,6.3751,3.8,10.1
54,5.8937,2.8,9.9
55,5.3729,2.25,9.55
56,4.5516,1.9,8
57,5.293,3.4,7.55
58,3.4632,2.05,5.3
59,5.6211,3.6,8.2
60,4.5891,2.65,7.1
61,5.7296,3.6,8.4
62,6.0553,3.6,9.55
63,6.63,3.8,10.9
64,5.6945,4.1,7.3
65,4.9871,3.25,7.05
66,6.0397,4.05,8
67,5.9492,3.85,8.3
68,6.5354,4.7,8.5
69,5.9452,3.9,7.9
70,5.8583,3.5,8.45
71,6.4643,4.25,8.8
72,5.4476,3.25,8
73,5.316,3.3,7.65
74,5.3005,3.15,8
75,6.376,3.8,9.65
76,5.3671,3.25,7.55
77,5.7616,3.6,7.8
78,4.9169,2.55,7.4
79,3.617,2.05,5.35
80,4.4375,2.1,7
81,3.3104,1.9,4.75
82,3.4079,1.6,5.7
83,3.9594,2.15,5.85
84,3.3876,1.65,5.2
85,3.7358,1.6,6.15
