Week,Mean,LowerBound,UpperBound
0,0,0,0
1,1.5371,1.35,1.75
2,0.4087,0.2,0.6
3,0.1536,0,0.3
4,0.1995,0.05,0.4
5,0.1559,0,0.4
6,0.0552999999999999,0,0.15
7,0.1992,0.05,0.4
8,0.191,0.05,0.35
9,0.3554,0.15,0.55
10,0.1527,0,0.3
11,0.0943,0,0.25
12,0.0943,0,0.25
13,0.2491,0.1,0.45
14,0.504,0.3,0.7
15,0.1496,0,0.35
16,0.0991999999999999,0,0.3
17,0.1945,0.05,0.35
18,0.1056,0,0.25
19,0,0,0
20,0.3437,0.1,0.7
21,0.2907,0.1,0.5
22,0.4056,0.2,0.65
23,0.3441,0.15,0.55
24,0.1045,0,0.25
25,0.2932,0.1,0.5
26,0.5448,0.3,0.75
27,0.1993,0.05,0.35
28,0.3382,0.05,0.65
29,0.0552999999999999,0,0.15
30,0,0,0
31,0.3484,0.1,0.65
32,0.2049,0.05,0.4
33,0.2591,0.1,0.45
34,0.543,0.25,0.9
35,0.3881,0.15,0.7
36,0.0552999999999999,0,0.15
37,0.7017,0.4,1.05
38,0.3433,0.1,0.65
39,0.1446,0,0.3
40,0.2038,0.05,0.4
41,0,0,0
42,0.1038,0,0.25
43,0,0,0
44,0.3991,0.1,0.75
45,0.4002,0.2,0.6
46,0.0552999999999999,0,0.15
47,0.1992,0.05,0.4
48,0.0502999999999999,0,0.2
49,0,0,0
50,0.1439,0,0.3
51,0.1496,0,0.3
52,0.3409,0.15,0.55
53,0.3056,0.1,0.5
54,0.3048,0.1,0.55
55,0.1442,0,0.3
56,0.0542,0,0.15
57,0.4026,0.15,0.7
58,0.256,0.1,0.45
59,0.2441,0.05,0.45
60,0.2574,0.05,0.5
61,0.2552,0.1,0.5
62,0.4548,0.2,0.75
63,0.0471,0,0.15
64,0.6941,0.4,1
65,0.4107,0.2,0.6
66,0.4498,0.25,0.7
67,0.4025,0.2,0.6
68,0.1496,0,0.3
69,0.3391,0.1,0.6
70,0.0994,0,0.25
71,0.256,0.1,0.45
72,0.1536,0,0.3
73,0.0994,0,0.25
74,0.5136,0.2,0.9
75,0.2439,0.05,0.45
76,0.3032,0.1,0.5
77,0.3503,0.15,0.55
78,0.1496,0,0.3
79,0.0542,0,0.15
80,0.0994,0,0.25
81,0.1988,0.05,0.4
82,0.1496,0,0.3
83,0.2495,0.1,0.45
84,0.6534,0.25,1
85,0,0,0
