Week,Mean,LowerBound,UpperBound
0,0,0,0
1,0.9462,0.8,1.15
2,0.3982,0.2,0.6
3,0.553,0.25,0.9
4,0.6037,0.2,1.05
5,0.2014,0.05,0.4
6,0.2499,0.05,0.45
7,0.2494,0.05,0.45
8,0.1462,0,0.35
9,0.2529,0.1,0.45
10,0.2028,0,0.45
11,0,0,0
12,0.1494,0,0.3
13,0,0,0
14,0.2524,0.05,0.5
15,0.1546,0,0.3
16,0.1968,0,0.5
17,0.0999,0,0.25
18,0.4866,0.1,0.95
19,0.2938,0.05,0.6
20,0.2938,0.05,0.7
21,0.444,0.15,0.8
22,0.5529,0.2,0.95
23,0.8436,0.55,1.2
24,0.5389,0.1,1.05
25,1.0975,0.65,1.55
26,1.2411,0.85,1.65
27,1.6442,1,2.3
28,1.4342,0.85,2.05
29,1.9405,1.25,2.65
30,1.9129,1.2,2.65
31,2.2094,1.3,3.3
32,2.6665,1.7,3.65
33,3.1511,2.3,4
34,3.2373,2.35,4.15
35,3.1553,2.15,4.1
36,4.2024,3,5.45
37,4.0513,2.65,5.5
38,4.2,3.15,5.4
39,4.2188,3.3,5.2
40,4.1095,2.45,6.35
41,4.6928,3.25,6.25
42,4.5271,3.35,5.7
43,3.7546,2.55,5.05
44,4.512,3.35,6
45,4.515,2.8,6.4
46,5.2978,3.35,7.8
47,5.3376,3.2,8
48,4.8518,3.25,6.8
49,5.3456,3.9,6.8
50,4.8291,3,7.05
51,4.282,3.1,5.5
52,3.9749,2.6,5.4
53,5.3836,3.75,7.3
54,3.5594,2.25,5.05
55,4.1961,2.95,5.6
56,5.0891,3.65,6.5
57,4.8566,3.05,7.05
58,5.7494,3.75,7.9
59,5.1961,3.9,6.9
60,4.7814,2.75,7.1
61,4.6142,3.35,6
62,5.6313,3.8,7.7
63,4.502,3,5.85
64,5.133,3.5,7
65,5.9084,4.15,7.75
66,5.5455,4,7.3
67,5.3215,4.1,6.6
68,5.155,3.75,6.7
69,5.4598,4.05,6.7
70,5.2819,3.55,6.7
71,6.2803,4.7,7.75
72,5.5578,4,6.95
73,4.7818,3.4,6.25
74,6.252,4.3,8.8
75,5.5923,3.8,7.3
76,7.3618,5.55,9.15
77,7.3441,5.55,9.45
78,5.5175,4.05,7
79,6.1497,4.55,7.8
80,5.7069,3.8,7.7
81,5.4481,3.9,7
82,4.9409,3.3,6.65
83,4.5228,3.1,6.2
84,3.7689,2.45,5.25
85,4.2158,2.7,5.8
