Week,Mean,LowerBound,UpperBound
0,0,0,0
1,0.8958,0.45,1.35
2,0.5999,0.25,1.05
3,1.8046,1.1,2.55
4,1.2003,0.6,1.75
5,1.532,0.9,2.35
6,1.1082,0.55,1.7
7,1.6302,0.75,2.8
8,1.6206,1.05,2.2
9,1.4375,0.9,2.05
10,1.8548,1.1,2.6
11,1.0861,0.5,1.7
12,2.0899,1.25,3
13,1.7522,1.1,2.45
14,1.3453,0.8,1.95
15,1.9455,1.3,2.7
16,2.0805,1,3.6
17,1.8592,1.15,2.7
18,2.2547,1.25,3.55
19,1.8508,1,3.05
20,3.0003,2.1,3.95
21,3.0964,1.45,5.45
22,2.8838,1.65,4.3
23,3.7138,2.3,5.5
24,3.6095,1.95,5.85
25,3.1042,2,4.2
26,3.8329,2.25,5.7
27,4.6704,2.6,7.7
28,5.2544,2.9,8.1
29,5.5799,3.45,8.1
30,3.8372,2.05,6.25
31,4.6112,3.1,6.45
32,5.6919,3.65,8.55
33,6.9358,4.25,10.7
34,5.8018,3.65,8.4
35,6.6475,4,9.85
36,6.0055,3.75,9.05
37,6.7241,3.95,10.95
38,5.845,3.8,8.5
39,5.0338,3.45,6.6
40,4.4789,2.9,6.35
41,4.0639,2.5,5.95
42,4.4027,2.85,6.1
43,4.3605,2.75,6.1
44,4.1931,2.6,6
45,3.4127,1.9,5.4
46,3.9001,2,6.35
47,3.2188,1.35,5.65
48,3.669,2,5.7
49,3.3434,1.45,5.95
50,3.6028,1.8,6
51,5.3868,2.9,8.45
52,3.7689,1.8,6.2
53,5.1402,2.65,8.15
54,3.4193,1.85,5.3
55,3.8562,2,6.15
56,3.0318,1.45,4.95
57,4.1084,2.3,6.75
58,3.5175,2.15,5.05
59,3.6934,2,5.9
60,4.2917,2.5,6.35
61,4.2509,2.65,6.25
62,3.722,1.9,6
63,4.29,2.35,7.2
64,3.6793,2.2,5.3
65,3.7147,1.9,5.6
66,3.3996,1.65,5.25
67,4.8183,2.8,7.2
68,4.6266,2.65,7.1
69,5.645,3.1,8.9
70,5.8625,3.6,8.3
71,5.1684,3.25,7.7
72,3.373,2.3,4.55
73,3.7868,2.1,5.8
74,3.8308,2.7,4.95
75,3.6536,2.15,5.3
76,3.9898,2.25,6
77,4.0517,2.25,6
78,2.7417,1.55,4.35
79,2.9729,1.3,5.2
80,3.2727,1.85,5.1
81,2.9045,1.5,4.45
82,2.8132,1.2,5.1
83,1.9885,1.1,2.9
84,2.3555,1,4.4
85,2.3484,1.05,3.85
