Week,Mean,LowerBound,UpperBound
0,0,0,0
1,1.7443,1.55,1.9
2,0.5114,0.25,0.85
3,0.7592,0.4,1.2
4,0.5452,0.3,0.9
5,0.4444,0.2,0.75
6,0.4039,0.1,0.75
7,0.8226,0.35,1.4
8,0.8488,0.35,1.35
9,0.8896,0.4,1.5
10,1.0659,0.65,1.5
11,0.9885,0.55,1.5
12,0.9694,0.4,1.8
13,1.7174,0.85,2.75
14,2.693,1.6,3.85
15,2.4059,1.25,3.5
16,2.1234,1.25,3
17,2.2307,1.25,3.3
18,2.2632,1.2,3.35
19,2.1385,0.9,3.4
20,1.1481,0.6,1.7
21,3.0599,1.65,4.35
22,3.0112,2.05,4
23,2.8925,1.8,4.05
24,3.6875,2.5,4.85
25,2.9197,1.8,4.1
26,2.4993,1.45,3.55
27,3.5364,2.15,5.15
28,4.2264,2.55,6.55
29,5.102,3.55,7.05
30,4.5544,3.35,5.8
31,3.8916,2.75,5.15
32,4.182,3.05,5.5
33,5.5725,4.2,7.15
34,5.3342,4,7.05
35,6.6183,4.3,8.85
36,6.5787,4.75,8.85
37,6.4052,4.65,8.5
38,6.0929,3.9,9.5
39,6.1212,4.15,8.8
40,6.7548,4.65,9.35
41,6.2531,4.2,8.55
42,5.3784,3.85,7.1
43,7.1676,5,9.6
44,5.82,4.1,7.75
45,5.9425,4,8.35
46,5.5205,3.4,7.9
47,4.9274,3.15,7.4
48,5.2555,3.55,7.35
49,4.648,2.9,7.2
50,4.8247,2.65,7.9
51,4.8278,2.85,7.55
52,4.8373,2.45,8.65
53,5.0615,2.95,8.25
54,6.0069,4.1,8.2
55,6.4851,4.35,9.1
56,6.6724,4.25,9.85
57,5.7101,4.15,7.45
58,6.6276,4.6,9.15
59,6.1692,4.2,8.4
60,7.4275,5.15,10.1
61,7.0448,4.4,10.1
62,6.4672,4.2,9.2
63,7.0375,4.15,10.55
64,6.7427,4.15,9.8
65,6.9952,4.7,9.3
66,7.1526,4.95,9.6
67,7.066,4.75,9.55
68,7.325,5,9.9
69,6.7886,4.35,9.1
70,5.8504,4.15,7.6
71,6.9744,4.6,9.35
72,6.5604,4.65,8.35
73,5.393,3.35,7.55
74,6.033,3.3,8.95
75,4.6183,2.9,6.5
76,4.1875,2.55,5.8
77,4.8174,2.9,6.75
78,4.1671,2.75,5.65
79,4.2813,2.5,6.1
80,4.3464,2.55,6.3
81,3.9311,2.1,5.65
82,4.5016,2.5,6.9
83,4.5139,2.25,7.1
84,3.5951,2.05,5.1
85,3.4043,1.6,5.4
