Week,Mean,LowerBound,UpperBound
0,0,0,0
1,267.1385,261.05,273.05
2,280.8823,276.15,285.4
3,256.9957,251.45,262.8
4,267.4683,262,273
5,128.5982,123.7,133.5
6,128.9315,125.85,132.8
7,124.9919,121.9,127.65
8,125.5929,121.2,129.8
9,131.6688,127.45,135.65
10,125.7264,119.7,131.85
11,131.6301,127.4,135.05
12,127.1252,122.95,131.95
13,126.9712,122.3,131.5
14,128.6582,122.65,134.4
15,132.7094,128.8,137.05
16,126.0233,121.7,130.4
17,128.0825,122.65,134
18,130.004,125.8,134.15
19,127.5389,123,132.1
20,125.1628,120.35,130.2
21,130.505,125.1,135.65
22,128.9993,125.85,131.95
23,127.3636,123.8,130.75
24,119.5119,115.7,123.65
25,129.8342,125.2,134.1
26,122.4687,118.85,126.4
27,123.3803,117.65,128.9
28,122.0236,117.2,127.25
29,125.1451,120.1,130.3
30,123.3304,119.2,127.9
31,121.8075,116.5,127.1
32,125.5039,120.55,130.75
33,124.554,121.75,127.7
34,125.6389,121,130.15
35,122.4965,117.85,127.3
36,131.8409,127.2,136.95
37,124.0603,121.55,127.15
38,129.0835,124.05,133.45
39,127.0514,123.25,131.1
40,128.2243,123.4,132.95
41,123.3199,119.7,127.15
42,126.7381,123,130.25
43,129.4609,123.65,136.05
44,124.6637,120.5,129.5
45,129.1196,125.95,131.95
46,125.223,120.65,130.7
47,120.9596,117.2,124.5
48,128.9411,123.05,134.55
49,125.5568,121.6,129.45
50,124.2877,118.8,130.35
51,123.0588,120.1,126.35
52,126.2789,121.1,131.6
53,124.2053,120.5,127.85
54,121.523,115.9,127.6
55,125.3712,121.45,129.2
56,119.8174,115.3,124.3
57,124.0335,120,127.9
58,125.6593,121.9,129.2
59,126.246,122.6,130.2
60,125.3389,121.95,128.9
61,126.3193,121.8,130.35
62,120.3016,115.05,125.45
63,126.1117,122.5,129.75
64,121.8235,116.6,126.75
65,124.2137,119.75,128.65
66,120.035,115.6,124.6
67,125.2506,121.1,129.45
68,121.3667,117.85,125
69,124.6031,120.3,129.1
70,123.2905,117.4,129.1
71,120.4528,116,124.95
72,119.8513,116.75,122.8
73,123.0123,119.65,126.05
74,121.1662,117.55,125.45
75,116.8346,112,121.35
76,120.2025,116.45,124.4
77,121.0723,114.9,125.45
78,123.9526,120.35,128.05
79,119.7836,115.4,123.75
80,120.4654,115.45,127.2
81,123.0321,118.25,127.4
82,118.3202,114.9,121.65
83,120.8958,117.5,124.55
84,121.2783,115.8,126.9
85,121.1281,117.8,124.9
