Week,Mean,LowerBound,UpperBound
0,0,0,0
1,1.6437,1.35,1.9
2,2.5039,2.2,2.85
3,3.6701,3.1,4.25
4,5.0091,4.4,5.65
5,5.744,4.95,6.65
6,8.1732,7.15,9.25
7,10.2346,8.95,11.5
8,12.3166,10.85,13.9
9,15.1281,13.3,16.95
10,17.8677,15.7,20.2
11,20.719,18.1,23.6
12,23.5716,20.3,27.4
13,26.6041,22.7,31.25
14,29.8828,25.2,35.4
15,32.2665,26.85,38.35
16,35.249,28.75,42.6
17,38.9799,30.95,48.1
18,42.2557,33.15,52.9
19,46.0027,35.75,57.85
20,49.6876,38.3,62.7
21,53.1243,41.1,67.95
22,56.2893,43.3,72.4
23,60.526,46.55,78.1
24,65.2495,49.65,84.85
25,69.2097,52.6,89.6
26,74.8262,56.45,98.15
27,79.8161,60.55,105.4
28,84.9319,64.65,111.1
29,91.1355,69,119.9
30,96.3785,73.2,126.25
31,102.0209,77.6,133.45
32,107.1481,81.85,139.85
33,114.1908,87.4,148.15
34,120.7066,92.7,155.45
35,127.1651,98,163.45
36,133.694,103.85,170.8
37,139.474,108.45,177.55
38,145.4241,112.9,184.3
39,150.5309,115.9,190.7
40,155.164,119.35,196.6
41,159.0177,122.15,201.45
42,163.4891,124.95,206.95
43,167.3901,127.35,211.6
44,171.3736,130.35,216.6
45,175.2035,133.1,221.8
46,178.4341,135.65,226.55
47,183.0917,139.65,233.65
48,186.6063,141.6,238.3
49,190.2351,145.05,243.15
50,192.9989,147.6,245.95
51,197.1597,150.1,251.55
52,199.8392,151.55,255.35
53,203.1801,153.45,259.5
54,207.3083,156.45,265.2
55,212.0546,158.95,272.25
56,216.5015,162.1,278.7
57,220.4368,165.35,284.95
58,225.3148,169.5,292.8
59,230.8437,173.45,300.9
60,236.0812,176.7,309.8
61,242.1069,180.7,318.65
62,248.8063,185.7,328.4
63,253.6085,189.4,334.35
64,260.1056,194.55,343
65,266.5424,200,349.9
66,272.0295,204.1,355.9
67,277.0324,207.8,361.8
68,282.6445,210.75,370.4
69,288.0816,214.6,375.8
70,294.3789,219.3,384.8
71,300.2645,222.95,393.15
72,305.0808,225.85,400.4
73,310.836,229.25,408.35
74,315.5612,232.55,415.2
75,320.4423,236.45,421.1
76,324.9904,239.85,426.95
77,328.7801,242.9,431.6
78,332.7862,245.35,436.25
79,336.1125,248.2,440.15
80,340.001,250.55,445.6
81,342.532,251.85,449.3
82,345.0959,252.95,452.85
83,347.449,254.05,456.3
84,349.4809,255.6,459.05
85,351.6735,257.1,462.2
