Week,Mean,LowerBound,UpperBound
0,0,0,0
1,1.659,1.4,1.85
2,0.6928,0.45,1
3,1.0144,0.55,1.55
4,0.4065,0.2,0.6
5,0.5587,0.2,0.95
6,0.0499,0,0.15
7,0.5104,0.2,0.9
8,0.0995,0,0.25
9,0.2552,0.1,0.45
10,0.5603,0.2,0.95
11,0.452,0.25,0.7
12,0.3024,0,0.7
13,0.5613,0.2,0.9
14,1.1653,0.65,1.65
15,0.4023,0.2,0.6
16,0.2962,0.05,0.6
17,0.1433,0,0.3
18,0.5522,0.3,0.8
19,0.1526,0.05,0.35
20,0.3048,0.1,0.5
21,0.1504,0,0.3
22,0.6881,0.35,1.05
23,0.5088,0.3,0.7
24,0.6033,0.3,0.95
25,0.2443,0.05,0.5
26,0.4524,0.25,0.7
27,0.143,0,0.3
28,0.9046,0.55,1.25
29,0.545,0.3,0.9
30,0.6415,0.4,0.9
31,0.7327,0.3,1.3
32,0.4327,0.15,0.8
33,0.9332,0.55,1.3
34,0.8355,0.45,1.25
35,0.6479,0.3,1.1
36,0.4985,0.2,0.9
37,0.6578,0.2,1.25
38,1.2851,0.9,1.7
39,0.2937,0.05,0.6
40,0.8456,0.5,1.25
41,1.242,0.75,1.8
42,0.5338,0.25,0.95
43,1.2064,0.8,1.65
44,1.0085,0.45,1.7
45,0.5454,0.25,0.9
46,0.586,0.2,1
47,0.3454,0.05,0.75
48,0.8611,0.4,1.55
49,0.632,0.25,1.1
50,0.5888,0.15,1.05
51,0.4475,0,1
52,0.4526,0.2,0.75
53,1.1407,0.65,1.65
54,0.4432,0.1,0.9
55,0.6945,0.3,1.1
56,1.0343,0.6,1.5
57,0.7352,0.25,1.25
58,0.5524,0.2,1
59,0.9499,0.5,1.45
60,0.852,0.3,1.55
61,0.7477,0.25,1.3
62,1.1068,0.55,1.75
63,1.0358,0.5,1.6
64,1.6273,0.95,2.45
65,1.4471,0.95,1.85
66,0.9686,0.45,1.6
67,1.547,1.15,1.95
68,0.6269,0.25,1.15
69,0.6093,0.25,1
70,0.7824,0.4,1.25
71,0.931,0.45,1.5
72,1.0203,0.5,1.5
73,0.885,0.4,1.45
74,0.896,0.55,1.25
75,1.081,0.65,1.5
76,0.7292,0.3,1.15
77,0.9339,0.6,1.3
78,1.186,0.55,1.75
79,1.1371,0.55,1.8
80,1.3411,1,1.75
81,0.7466,0.5,1
82,2.0019,1.5,2.5
83,1.0153,0.4,1.65
84,0.6914,0.4,1
85,0.3935,0.2,0.6
