Week,Mean,LowerBound,UpperBound
0,0,0,0
1,21.3959,19.75,23.1
2,20.3681,18.8,21.9
3,18.9058,16.95,20.95
4,22.2027,20,24.35
5,22.1482,20.7,23.45
6,20.6494,18.4,22.65
7,18.6798,17.2,20.2
8,19.4663,18.05,20.9
9,21.0243,19.15,22.9
10,18.6439,17.25,20.1
11,19.235,17.55,21.2
12,18.6172,16.45,20.75
13,19.4741,17.8,21.2
14,20.7366,19.35,22.15
15,21.0111,19.1,22.9
16,19.7792,18.2,21.45
17,22.6546,20.15,25.35
18,21.2727,19.3,23.35
19,19.6527,18.2,21.05
20,22.6551,21.35,23.85
21,20.9739,19.7,22.5
22,18.9909,17.2,20.8
23,18.4571,17.1,19.85
24,18.5648,16.8,20.3
25,19.5752,16.85,22.6
26,19.8819,18.15,21.35
27,21.9223,20.4,23.6
28,20.6164,18.5,22.8
29,22.6901,20.35,24.8
30,19.2501,16.9,21.15
31,21.552,18.9,23.65
32,20.2766,18.35,22
33,19.4222,16.95,22.45
34,19.246,17.1,21.65
35,22.026,20.25,24
36,21.8988,20.4,23.6
37,20.6095,18.45,23.05
38,19.7942,18.1,21.45
39,23.1444,21.7,24.8
40,21.5934,19.8,23.4
41,19.8021,18.05,21.65
42,23.5086,21.2,25.7
43,23.2139,21.1,25.1
44,24.4085,22.2,26.4
45,21.9418,19.45,24.2
46,21.0533,19.05,23.2
47,22.1134,20.25,24.05
48,21.8622,19.65,24
49,24.7112,21.65,27.45
50,27.4068,24.65,29.8
51,22.7513,20.9,24.6
52,26.0097,23.55,28.2
53,24.8802,22.95,26.85
54,21.4588,19.8,23.05
55,25.9304,24.25,27.65
56,22.9633,21.3,24.7
57,25.1699,23.15,27.2
58,28.4083,25.5,31.2
59,24.8566,22.2,27.9
60,24.1393,22.15,26.2
61,26.1971,24.1,28.5
62,24.6974,22.75,26.75
63,25.7496,23.95,27.8
64,24.2758,22.1,26.6
65,25.676,23.4,27.8
66,25.0377,22.55,27.45
67,25.9396,22.45,29.6
68,25.0634,22.9,27.3
69,27.2552,25.55,29.1
70,27.1015,24.4,29.95
71,22.9138,20.65,25.05
72,24.1191,21.6,26.1
73,24.9457,22.1,28.1
74,23.4535,20.75,26.25
75,23.6149,21.75,25.7
76,24.3053,22.35,26.35
77,25.4183,23.5,27.55
78,23.9307,21.55,26.45
79,24.5282,22.85,26.05
80,22.7303,20.95,24.5
81,23.5953,22.1,24.85
82,23.8422,21.3,26.9
83,22.4698,20.5,24.4
84,23.2881,21.2,25.7
85,23.316,21.65,25.1
