Week,Mean,LowerBound,UpperBound
0,0,0,0
1,0.1931,0.05,0.4
2,0.1501,0,0.3
3,0.0533999999999999,0,0.15
4,0.0508999999999999,0,0.15
5,0.2461,0.05,0.45
6,0.0502999999999999,0,0.2
7,0.4013,0.1,0.9
8,0.2946,0.05,0.55
9,0.0495999999999999,0,0.15
10,0.0495999999999999,0,0.15
11,0.0495999999999999,0,0.15
12,0.3619,0.15,0.6
13,0.4506,0.2,0.75
14,0.3913,0.2,0.6
15,0.2485,0.05,0.45
16,0.2012,0.05,0.4
17,0.4406,0.15,0.85
18,0.1491,0,0.3
19,0.0994,0,0.25
20,0.4098,0.2,0.6
21,0.1497,0,0.35
22,0.3472,0.1,0.7
23,0.4014,0.15,0.75
24,0.3444,0.15,0.6
25,0.3003,0.1,0.5
26,0.5019,0.25,0.8
27,0.299,0.05,0.65
28,0.3109,0.1,0.5
29,0.2506,0.05,0.5
30,0.2927,0.1,0.5
31,0.207,0.05,0.4
32,0.6117,0.3,0.9
33,0.6532,0.3,1.05
34,0.3989,0.2,0.6
35,0.4062,0.15,0.8
36,0.1513,0,0.4
37,0.2972,0,0.65
38,0.0982,0,0.25
39,0.0961,0,0.25
40,0.0965999999999999,0,0.3
41,0.2443,0.1,0.45
42,0.098,0,0.25
43,0.0497,0,0.15
44,0.0965999999999999,0,0.3
45,0.3011,0.1,0.6
46,0.1488,0,0.3
47,0.0514999999999999,0,0.15
48,0.1488,0,0.45
49,0.0495999999999999,0,0.15
50,0,0,0
51,0,0,0
52,0.1095,0,0.25
53,0.1956,0.05,0.4
54,0.4615,0.15,0.8
55,0.296,0.05,0.55
56,0.0508999999999999,0,0.15
57,0.2984,0.1,0.6
58,0.3,0.05,0.65
59,0.1445,0,0.3
60,0,0,0
61,0.2008,0,0.45
62,0.1006,0,0.25
63,0.4471,0.1,0.9
64,0.1961,0.05,0.4
65,0.4009,0.1,0.8
66,0.3571,0.05,0.7
67,0.2025,0.05,0.4
68,0.1961,0.05,0.4
69,0.2446,0.05,0.45
70,0.2432,0.05,0.45
71,0.2,0.05,0.4
72,0.0994,0,0.25
73,0.0941999999999999,0,0.3
74,0.0482999999999999,0,0.15
75,0,0,0
76,0.0482999999999999,0,0.15
77,0,0,0
78,0,0,0
79,0,0,0
80,0,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
