Week,Mean,LowerBound,UpperBound
0,0,0,0
1,0,0,0
2,0.3986,0.15,0.65
3,0.2922,0.1,0.5
4,1.1349,0.8,1.55
5,0.8092,0.35,1.4
6,0.5844,0.25,0.95
7,1.3973,0.9,1.95
8,1.0033,0.5,1.55
9,1.202,0.75,1.6
10,1.5561,1.15,2
11,1.5033,0.95,2
12,0.9894,0.5,1.55
13,0.9133,0.55,1.3
14,1.2392,0.6,2
15,0.9117,0.5,1.35
16,1.1739,0.65,1.65
17,0.7414,0.4,1.1
18,0.6298,0.3,1.05
19,0.8061,0.45,1.25
20,1.336,0.7,2
21,0.5489,0.3,0.85
22,1.0102,0.6,1.45
23,0.7591,0.45,1.15
24,0.795,0.4,1.25
25,1.3699,0.8,2
26,1.4383,1,1.95
27,1.1332,0.7,1.6
28,0.9905,0.45,1.55
29,0.9954,0.55,1.4
30,0.9536,0.55,1.3
31,0.9922,0.55,1.55
32,1.153,0.7,1.6
33,1.2761,0.7,1.85
34,0.8476,0.5,1.2
35,0.6479,0.35,0.95
36,0.6935,0.3,1.15
37,1.0978,0.75,1.5
38,0.8827,0.5,1.4
39,0.6921,0.25,1.2
40,1.0552,0.65,1.5
41,1.4017,0.85,1.85
42,0.8325,0.45,1.35
43,1.1902,0.65,1.8
44,1.0745,0.75,1.4
45,1.4612,0.9,2.1
46,1.0317,0.65,1.4
47,1.3413,0.95,1.8
48,0.9542,0.65,1.35
49,0.6865,0.4,0.95
50,1.2845,0.65,2
51,0.9942,0.6,1.4
52,1.4322,1.1,1.95
53,1.5511,1.05,2.1
54,0.9281,0.45,1.5
55,1.0074,0.6,1.4
56,1.818,1.35,2.35
57,1.5527,0.95,2.2
58,1.2509,0.85,1.65
59,0.8018,0.4,1.2
60,0.8535,0.5,1.25
61,0.9672,0.6,1.4
62,1.1137,0.7,1.6
63,1.3328,0.85,1.9
64,1.1502,0.6,1.85
65,0.8634,0.5,1.2
66,1.1932,0.95,1.45
67,0.9592,0.6,1.35
68,1.6179,1.2,1.95
69,1.6766,1.1,2.3
70,1.1716,0.8,1.6
71,0.8066,0.3,1.45
72,1.2284,0.85,1.7
73,1.6827,1.1,2.3
74,0.4479,0.2,0.7
75,1.2865,0.8,1.8
76,1.0399,0.65,1.45
77,1.0972,0.65,1.65
78,1.6995,1.1,2.35
79,0.9917,0.55,1.5
80,0.8033,0.45,1.2
81,0.9415,0.6,1.35
82,0.6786,0.35,1.05
83,0.7432,0.45,1.1
84,0.9013,0.45,1.4
85,0.3461,0.1,0.6
