Week,Mean,LowerBound,UpperBound
0,0,0,0
1,168.3049,161.7,173.4
2,185.1926,180.3,190.3
3,163.2205,159.3,167.45
4,172.7799,170.25,175.6
5,34.3996,32.25,36.7
6,33.6233,32.1,35.4
7,32.6786,30.6,34.45
8,31.9075,29.75,33.85
9,29.7053,27.6,32.1
10,29.379,26.5,32.15
11,32.59,31.2,34
12,35.4151,33.55,37.25
13,35.8605,33.85,38.15
14,36.5674,34.3,38.75
15,33.843,32.3,35.3
16,34.8528,32.1,37.65
17,32.7193,29.9,35.45
18,34.9357,32.85,37.1
19,33.0536,30.2,36.4
20,35.8671,33.95,37.6
21,32.3382,30.8,34
22,34.3675,31.75,36.9
23,34.6059,32.5,36.8
24,34.6417,32.55,36.75
25,30.6017,28.75,32.6
26,33.2303,30.8,35.8
27,33.9723,31,37.4
28,31.5704,29.5,33.75
29,35.0856,32.75,37.75
30,32.6745,30.8,34.5
31,31.3722,29.85,33
32,37.0372,34.3,39.65
33,30.9126,28.9,32.95
34,32.621,30.15,35.5
35,34.717,32.7,36.7
36,32.4597,29.95,34.9
37,33.9231,32.35,35.95
38,28.7653,26.5,30.7
39,32.3375,30.05,34.65
40,30.7591,27.95,33.65
41,34.1219,30.9,37.05
42,35.3549,32.65,38
43,31.3037,28.3,34.05
44,32.3586,30.85,33.7
45,32.8986,30.35,35.95
46,34.5176,33.2,35.8
47,29.3338,27.55,31.25
48,30.4577,27.9,33.1
49,30.2874,27.7,32.8
50,33.7356,31.35,36.2
51,34.0418,32.3,35.45
52,29.6734,26.8,33.15
53,32.0189,29.25,34.85
54,33.7425,29.85,37.8
55,32.15,30.15,34.25
56,34.0632,31.4,36.75
57,31.8561,30,33.65
58,32.4253,29.95,35.25
59,32.0106,28.85,34.85
60,30.6804,28.45,33.05
61,34.3404,31.7,36.9
62,27.6484,25.5,29.55
63,31.919,30.4,33.7
64,32.9413,30.85,35.2
65,32.2785,29.55,34.65
66,29.6742,28.35,31.05
67,29.1402,26.5,31.95
68,31.4391,29.55,33.25
69,31.0744,29.15,32.8
70,31.5581,29.5,33.4
71,31.6458,29.05,34.15
72,31.9634,30.1,33.9
73,31.3841,29.85,32.7
74,30.8996,29.1,32.6
75,30.4465,28.25,32.2
76,29.2797,27.45,31.25
77,31.0268,28.25,33.85
78,29.0799,26.25,31.7
79,28.5722,25.95,31.55
80,34.6268,33.05,36.35
81,35.261,32.85,37.55
82,30.4204,28.35,32.65
83,31.944,29.35,34.4
84,32.1196,30.2,33.95
85,31.2716,29.05,33.5
