vaccinated,pox_status,pox_aware,alive,race,age_bucket,new_state,new_prob
0,0,0,1,0,1,1,0.002
0,0,0,1,0,2,1,0.004
0,0,0,1,0,3,1,0.0024
0,0,0,1,0,4,1,0.002
0,0,0,1,0,5,1,0.001
0,0,0,1,1,1,1,0.0013
0,0,0,1,1,2,1,0.0026
0,0,0,1,1,3,1,0.00156
0,0,0,1,1,4,1,0.0013
0,0,0,1,1,5,1,0.00065
0,0,0,1,2,1,1,0.003
0,0,0,1,2,2,1,0.006
0,0,0,1,2,3,1,0.0036
0,0,0,1,2,4,1,0.003
0,0,0,1,2,5,1,0.0015
0,1,0,1,0,1,1,0.002
0,1,0,1,0,2,1,0.004
0,1,0,1,0,3,1,0.0024
0,1,0,1,0,4,1,0.002
0,1,0,1,0,5,1,0.001
0,1,0,1,1,1,1,0.0013
0,1,0,1,1,2,1,0.0026
0,1,0,1,1,3,1,0.00156
0,1,0,1,1,4,1,0.0013
0,1,0,1,1,5,1,0.00065
0,1,0,1,2,1,1,0.003
0,1,0,1,2,2,1,0.006
0,1,0,1,2,3,1,0.0036
0,1,0,1,2,4,1,0.003
0,1,0,1,2,5,1,0.0015
0,1,1,1,0,1,1,0.95
0,1,1,1,0,2,1,0.95
0,1,1,1,0,3,1,0.95
0,1,1,1,0,4,1,0.95
0,1,1,1,0,5,1,0.95
0,1,1,1,1,1,1,0.95
0,1,1,1,1,2,1,0.95
0,1,1,1,1,3,1,0.95
0,1,1,1,1,4,1,0.95
0,1,1,1,1,5,1,0.95
0,1,1,1,2,1,1,0.95
0,1,1,1,2,2,1,0.95
0,1,1,1,2,3,1,0.95
0,1,1,1,2,4,1,0.95
0,1,1,1,2,5,1,0.95
