tally_idx,tally_name
1,Week
2,New Births
3,New Infections
4,infected_per_infectious
5,r_t
6,max(infectious_wks)
7,new infect|hiv
8,new infect|vax1
9,new infect|vax2
10,new infect b
11,new infect h
12,new infect w
13,new infect a1
14,new infect a2
15,new infect a3
16,new infect a4
17,new infect a5
18,To Vax 1
19,To Vax 2
20,To Vax
21,To Vax1 plwh
22,To Aware (asym)
23,To Aware (sym)
24,To Aware
25,To aware|hiv
26,To Aware b|hiv
27,To Aware h|hiv
28,To Aware w|hiv
29,To Aware ls 40|hiv
30,To Aware ge 40|hiv
31,To_aware_b
32,To_aware_h
33,To_aware_w
34,To_aware_a1
35,To_aware_a2
36,To_aware_a3
37,To_aware_a4
38,To_aware_a5
39,To_vax1_b
40,To_vax1_h
41,To_vax1_w
42,To_vax1_a1
43,To_vax1_a2
44,To_vax1_a3
45,To_vax1_a4
46,To_vax1_a5
47,To_vax2_b
48,To_vax2_h
49,To_vax2_w
50,To_vax2_a1
51,To_vax2_a2
52,To_vax2_a3
53,To_vax2_a4
54,To_vax2_a5
55,To_vax_b
56,To_vax_h
57,To_vax_w
58,To_vax_a1
59,To_vax_a2
60,To_vax_a3
61,To_vax_a4
62,To_vax_a5
63,Asymp to Symp
64,Symp to Recover
65,Asymp to Recover
66,To on Treatment
67,To Death
68,To isolation
69,Alive MSM
70,Sus
71,Asymp
72,Symp
73,recovered
74,aware
75,aware_asym
76,aware_sym
77,vax_1
78,vax_2
79,vac1_sus
80,vac1_asy
81,vac1_sym
82,vac1_rec
83,vac2_sus
84,vac2_asy
85,vac2_sym
86,vac2_rec
87,vac1_b
88,vac1_h
89,vac1_w
90,vac2_b
91,vac2_h
92,vac2_w
93,vac1_hiv
94,vac2_hiv
95,on trt
96,on iso
97,hiv aware
98,pox + hiv aware 
